transaction_id,customer_id,merchant_id,amount,currency,timestamp,country,channel,status,ip,device
T000106,C0048,M008,57.3,XOF,2025-09-19T10:50:09Z,CI,mobile,declined,102.134.22.166,ios
T000107,C0362,M009,180.6,XOF,2025-09-20T13:09:44Z,CI,mobile,declined,102.134.22.63,mac
T000108,C0075,M013,92.71,XOF,2025-09-21T04:34:03Z,CI,web,declined,102.134.22.71,mac
T000109,C0421,M001,207.23,XOF,2025-09-18T14:59:45Z,CI,mobile,approved,102.134.22.149,mac
T000110,C0229,M018,81.76,XOF,2025-09-16T07:16:53Z,CI,mobile,approved,102.134.22.196,linux
T000111,C0097,M008,52.26,XOF,2025-09-19T01:52:13Z,CI,web,declined,102.134.22.106,android
T000112,C0382,M016,139.52,XOF,2025-09-18T08:40:32Z,CI,mobile,declined,102.134.22.203,ios
T000113,C0495,M019,160.55,XOF,2025-09-20T12:16:29Z,CI,web,declined,102.134.22.113,android
T000114,C0467,M015,110.89,XOF,2025-09-20T21:11:39Z,CI,web,approved,102.134.22.168,ios
T000115,C0174,M020,1,XOF,2025-09-15T09:47:43Z,CI,web,declined,102.134.22.219,linux
T000116,C0489,M011,160.21,XOF,2025-09-19T02:41:08Z,CI,web,approved,102.134.22.61,windows
T000117,C0051,M004,118.27,XOF,2025-09-17T06:15:36Z,CI,web,approved,102.134.22.232,android
T000118,C0167,M002,34.67,XOF,2025-09-15T01:23:45Z,CI,mobile,approved,102.134.22.38,ios
T000119,C0093,M006,16.95,XOF,2025-09-20T22:42:48Z,CI,web,approved,102.134.22.98,linux
T000120,C0255,M019,183.55,XOF,2025-09-17T10:08:48Z,CI,web,approved,102.134.22.66,mac
T000121,C0239,M010,34.53,XOF,2025-09-17T14:22:09Z,CI,web,approved,102.134.22.89,linux
T000122,C0328,M014,1,XOF,2025-09-18T03:08:05Z,CI,mobile,approved,102.134.22.51,mac
T000123,C0184,M019,181.45,XOF,2025-09-20T08:44:40Z,CI,mobile,approved,102.134.22.213,mac
T000124,C0005,M019,168.69,XOF,2025-09-17T19:56:53Z,CI,mobile,approved,102.134.22.232,windows
T000125,C0326,M007,61.68,XOF,2025-09-17T07:01:36Z,CI,web,approved,102.134.22.232,android
T000126,C0404,M015,73.54,XOF,2025-09-18T05:58:59Z,CI,mobile,approved,102.134.22.24,windows
T000127,C0068,M018,119.21,XOF,2025-09-18T11:09:49Z,CI,mobile,approved,102.134.22.66,mac
T000128,C0383,M011,70.28,XOF,2025-09-18T01:57:58Z,CI,mobile,declined,102.134.22.37,ios
T000129,C0188,M003,261.51,XOF,2025-09-19T07:45:16Z,CI,web,approved,102.134.22.32,mac
T000130,C0345,M009,90.48,XOF,2025-09-18T23:21:30Z,CI,mobile,approved,102.134.22.60,mac
T000131,C0168,M020,1,XOF,2025-09-14T19:17:20Z,CI,web,approved,102.134.22.119,windows
T000132,C0060,M005,1,XOF,2025-09-19T10:55:29Z,CI,web,approved,102.134.22.127,android
T000133,C0199,M015,129.47,XOF,2025-09-15T16:18:33Z,CI,mobile,approved,102.134.22.187,ios
T000134,C0336,M004,218.9,XOF,2025-09-19T12:50:37Z,CI,mobile,declined,102.134.22.72,android
T000135,C0121,M012,137.72,XOF,2025-09-18T23:55:28Z,CI,mobile,approved,102.134.22.251,windows
T000136,C0204,M009,204.94,XOF,2025-09-15T05:38:11Z,CI,web,declined,102.134.22.211,mac
T000137,C0306,M001,60.28,XOF,2025-09-15T14:42:06Z,CI,mobile,approved,102.134.22.33,linux
T000138,C0036,M018,22.17,XOF,2025-09-16T23:46:13Z,CI,web,approved,102.134.22.60,windows
T000139,C0142,M005,145.9,XOF,2025-09-16T06:58:41Z,CI,mobile,approved,102.134.22.29,android
T000140,C0008,M012,15.45,XOF,2025-09-16T02:23:25Z,CI,mobile,approved,102.134.22.68,android
T000141,C0382,M003,114.91,XOF,2025-09-16T00:55:15Z,CI,mobile,approved,102.134.22.132,linux
T000142,C0232,M017,22.37,XOF,2025-09-15T19:45:51Z,CI,web,approved,102.134.22.233,linux
T000143,C0032,M016,1,XOF,2025-09-18T03:51:22Z,CI,mobile,approved,102.134.22.126,mac
T000144,C0461,M003,173.76,XOF,2025-09-15T09:24:20Z,CI,web,approved,102.134.22.71,linux
T000145,C0306,M017,101.55,XOF,2025-09-21T03:43:13Z,CI,mobile,approved,102.134.22.111,android
T000146,C0437,M018,43.86,XOF,2025-09-15T21:19:31Z,CI,mobile,approved,102.134.22.59,mac
T000147,C0374,M004,157.72,XOF,2025-09-18T14:43:15Z,CI,mobile,approved,102.134.22.66,windows
T000148,C0352,M016,48.67,XOF,2025-09-16T08:27:33Z,CI,web,approved,102.134.22.24,mac
T000149,C0067,M018,117.37,XOF,2025-09-15T16:07:35Z,CI,mobile,approved,102.134.22.106,windows
T000150,C0445,M002,42.79,XOF,2025-09-19T15:11:21Z,CI,mobile,approved,102.134.22.148,linux
T000151,C0434,M004,171.72,XOF,2025-09-17T01:57:52Z,CI,mobile,approved,102.134.22.72,linux
T000152,C0414,M014,195.83,XOF,2025-09-17T05:52:24Z,CI,mobile,approved,102.134.22.70,windows
T000153,C0074,M019,89.99,XOF,2025-09-18T14:58:51Z,CI,web,approved,102.134.22.163,android
T000154,C0383,M017,160.76,XOF,2025-09-15T14:43:34Z,CI,mobile,approved,102.134.22.88,ios
T000155,C0483,M019,93.24,XOF,2025-09-18T23:47:08Z,CI,web,approved,102.134.22.194,linux
T000156,C0346,M003,185.6,XOF,2025-09-15T02:29:39Z,CI,mobile,approved,102.134.22.125,linux
T000157,C0263,M004,72.16,XOF,2025-09-19T20:45:16Z,CI,mobile,approved,102.134.22.174,linux
T000158,C0270,M010,148.62,XOF,2025-09-20T09:44:31Z,CI,web,approved,102.134.22.154,android
T000159,C0393,M005,174.48,XOF,2025-09-14T14:14:20Z,CI,mobile,approved,102.134.22.2,mac
T000160,C0090,M005,305.02,XOF,2025-09-19T17:26:14Z,CI,web,approved,102.134.22.214,windows
T000161,C0224,M001,14.9,XOF,2025-09-15T08:59:36Z,CI,web,declined,102.134.22.148,mac
T000162,C0208,M014,199.36,XOF,2025-09-21T11:00:53Z,CI,web,approved,102.134.22.248,windows
T000163,C0426,M012,155.18,XOF,2025-09-16T14:03:42Z,CI,mobile,approved,102.134.22.63,mac
T000164,C0269,M003,14.72,XOF,2025-09-19T08:38:22Z,CI,mobile,approved,102.134.22.57,windows
T000165,C0272,M017,220.51,XOF,2025-09-16T12:58:19Z,CI,mobile,approved,102.134.22.246,ios
T000166,C0053,M005,172.31,XOF,2025-09-17T08:49:05Z,CI,web,approved,102.134.22.40,android
T000167,C0238,M019,227.27,XOF,2025-09-16T15:35:51Z,CI,mobile,declined,102.134.22.161,windows
T000168,C0226,M003,86.11,XOF,2025-09-16T07:58:10Z,CI,mobile,approved,102.134.22.204,windows
T000169,C0237,M015,101.23,XOF,2025-09-15T04:21:40Z,CI,web,approved,102.134.22.74,android
T000170,C0315,M020,145.19,XOF,2025-09-15T14:18:02Z,CI,mobile,approved,102.134.22.245,android
T000171,C0097,M011,207.62,XOF,2025-09-19T22:59:39Z,CI,web,declined,102.134.22.116,android
T000172,C0366,M003,63.66,XOF,2025-09-18T16:02:00Z,CI,web,approved,102.134.22.113,mac
T000173,C0191,M010,73.44,XOF,2025-09-20T20:38:45Z,CI,mobile,approved,102.134.22.174,linux
T000174,C0405,M011,113.3,XOF,2025-09-15T03:15:09Z,CI,mobile,approved,102.134.22.174,mac
T000175,C0494,M020,118.04,XOF,2025-09-17T22:45:49Z,CI,mobile,approved,102.134.22.170,ios
T000176,C0159,M013,276.25,XOF,2025-09-18T17:53:33Z,CI,web,approved,102.134.22.97,windows
T000177,C0379,M017,47.67,XOF,2025-09-16T01:13:21Z,CI,mobile,approved,102.134.22.5,windows
T000178,C0093,M007,1,XOF,2025-09-18T05:57:49Z,CI,mobile,approved,102.134.22.36,ios
T000179,C0260,M018,80.01,XOF,2025-09-15T10:28:33Z,CI,mobile,declined,102.134.22.159,ios
T000180,C0079,M006,255.14,XOF,2025-09-19T01:43:39Z,CI,web,approved,102.134.22.12,mac
T000181,C0228,M020,93.7,XOF,2025-09-18T22:06:35Z,CI,mobile,approved,102.134.22.62,windows
T000182,C0463,M007,67.28,XOF,2025-09-20T04:36:38Z,CI,mobile,approved,102.134.22.73,mac
T000183,C0419,M007,1,XOF,2025-09-20T14:28:55Z,CI,mobile,approved,102.134.22.124,windows
T000184,C0479,M004,84.24,XOF,2025-09-21T05:31:18Z,CI,mobile,approved,102.134.22.42,windows
T000185,C0224,M003,157.41,XOF,2025-09-19T22:52:25Z,CI,mobile,declined,102.134.22.239,android
T000186,C0028,M013,94.68,XOF,2025-09-19T12:50:50Z,CI,web,approved,102.134.22.21,windows
T000187,C0430,M011,302.01,XOF,2025-09-17T05:24:05Z,CI,web,approved,102.134.22.235,mac
T000188,C0389,M016,152.58,XOF,2025-09-16T04:25:34Z,CI,web,declined,102.134.22.5,windows
T000189,C0373,M020,171.36,XOF,2025-09-17T02:48:50Z,CI,web,approved,102.134.22.61,windows
T000190,C0025,M008,33.11,XOF,2025-09-15T23:29:27Z,CI,mobile,approved,102.134.22.215,mac
T000191,C0124,M005,215.78,XOF,2025-09-21T00:08:13Z,CI,mobile,approved,102.134.22.91,ios
T000192,C0214,M006,129.93,XOF,2025-09-21T10:13:04Z,CI,mobile,approved,102.134.22.135,linux
T000193,C0011,M013,141.6,XOF,2025-09-20T15:46:11Z,CI,web,approved,102.134.22.252,windows
T000194,C0383,M001,27.25,XOF,2025-09-17T13:52:51Z,CI,web,approved,102.134.22.188,android
T000195,C0174,M006,169.86,XOF,2025-09-18T12:51:11Z,CI,mobile,approved,102.134.22.208,ios
T000196,C0367,M015,175.43,XOF,2025-09-15T06:22:45Z,CI,mobile,approved,102.134.22.203,ios
T000197,C0204,M018,92.39,XOF,2025-09-15T00:12:21Z,CI,mobile,approved,102.134.22.166,ios
T000198,C0183,M002,183.16,XOF,2025-09-17T23:20:09Z,CI,mobile,approved,102.134.22.95,mac
T000199,C0198,M011,112.87,XOF,2025-09-19T08:30:53Z,CI,mobile,approved,102.134.22.95,linux
T000200,C0411,M003,1,XOF,2025-09-17T17:41:16Z,CI,web,approved,102.134.22.211,ios
T000201,C0168,M010,109.89,XOF,2025-09-21T02:52:51Z,CI,mobile,approved,102.134.22.110,ios
T000202,C0180,M015,155.83,XOF,2025-09-19T21:17:51Z,CI,mobile,approved,102.134.22.112,windows
T000203,C0187,M017,221.53,XOF,2025-09-15T04:42:24Z,CI,web,approved,102.134.22.156,mac
T000204,C0065,M003,171.77,XOF,2025-09-14T22:08:09Z,CI,mobile,approved,102.134.22.244,linux
T000205,C0486,M012,24.74,XOF,2025-09-14T21:25:58Z,CI,mobile,approved,102.134.22.147,ios
T000206,C0188,M013,46.02,XOF,2025-09-20T22:12:58Z,CI,mobile,approved,102.134.22.30,android
T000207,C0288,M004,40.86,XOF,2025-09-16T18:11:25Z,CI,mobile,approved,102.134.22.55,linux
T000208,C0356,M016,120.48,XOF,2025-09-17T23:10:49Z,CI,web,approved,102.134.22.19,mac
T000209,C0045,M011,189.82,XOF,2025-09-16T14:17:23Z,CI,web,approved,102.134.22.75,windows
T000210,C0365,M006,68.38,XOF,2025-09-16T09:52:36Z,CI,web,approved,102.134.22.52,ios
T000211,C0284,M019,124.63,XOF,2025-09-17T08:57:15Z,CI,mobile,approved,102.134.22.142,ios
T000212,C0034,M010,102.13,XOF,2025-09-15T13:06:43Z,CI,mobile,approved,102.134.22.197,mac
T000213,C0329,M003,311.74,XOF,2025-09-21T11:27:06Z,CI,mobile,approved,102.134.22.89,ios
T000214,C0328,M019,215.81,XOF,2025-09-21T04:34:43Z,CI,web,approved,102.134.22.234,android
T000215,C0083,M011,52.31,XOF,2025-09-16T00:09:52Z,CI,mobile,declined,102.134.22.133,windows
T000216,C0129,M007,112.27,XOF,2025-09-15T10:58:10Z,CI,web,approved,102.134.22.158,linux
T000217,C0483,M019,71.39,XOF,2025-09-15T15:12:46Z,CI,web,approved,102.134.22.185,linux
T000218,C0432,M019,119.21,XOF,2025-09-18T14:20:19Z,CI,web,approved,102.134.22.243,linux
T000219,C0214,M020,40.53,XOF,2025-09-17T17:05:11Z,CI,mobile,declined,102.134.22.140,windows
T000220,C0248,M008,8.97,XOF,2025-09-18T03:59:28Z,CI,mobile,approved,102.134.22.177,android
T000221,C0105,M011,34.49,XOF,2025-09-16T10:02:39Z,CI,mobile,declined,102.134.22.82,windows
T000222,C0067,M012,154.1,XOF,2025-09-19T08:08:04Z,CI,mobile,approved,102.134.22.32,windows
T000223,C0149,M013,120.47,XOF,2025-09-19T22:57:15Z,CI,web,declined,102.134.22.231,ios
T000224,C0479,M019,156.1,XOF,2025-09-18T11:22:21Z,CI,web,approved,102.134.22.128,linux
T000225,C0012,M003,51.28,XOF,2025-09-20T03:58:11Z,CI,mobile,declined,102.134.22.56,linux
T000226,C0025,M002,120.54,XOF,2025-09-18T18:47:17Z,CI,mobile,approved,102.134.22.216,mac
T000227,C0221,M005,1,XOF,2025-09-17T23:13:48Z,CI,mobile,approved,102.134.22.94,android
T000228,C0027,M019,84.57,XOF,2025-09-19T08:40:40Z,CI,mobile,approved,102.134.22.19,mac
T000229,C0423,M020,23.8,XOF,2025-09-20T14:52:30Z,CI,web,declined,102.134.22.101,windows
T000230,C0286,M012,151.02,XOF,2025-09-18T14:45:56Z,CI,web,approved,102.134.22.103,linux
T000231,C0171,M016,161.69,XOF,2025-09-14T23:43:30Z,CI,web,approved,102.134.22.132,ios
T000232,C0477,M020,132.2,XOF,2025-09-18T11:31:37Z,CI,web,approved,102.134.22.158,windows
T000233,C0251,M019,24.58,XOF,2025-09-18T13:58:33Z,CI,mobile,approved,102.134.22.95,windows
T000234,C0214,M019,115.61,XOF,2025-09-15T19:55:28Z,CI,web,approved,102.134.22.68,linux
T000235,C0088,M017,101.07,XOF,2025-09-17T06:16:36Z,CI,web,approved,102.134.22.63,android
T000236,C0486,M004,15.82,XOF,2025-09-21T10:46:23Z,CI,web,approved,102.134.22.108,ios
T000237,C0397,M020,89.97,XOF,2025-09-19T12:17:00Z,CI,web,approved,102.134.22.133,ios
T000238,C0167,M016,43.45,XOF,2025-09-21T07:22:12Z,CI,mobile,declined,102.134.22.118,linux
T000239,C0445,M009,4.95,XOF,2025-09-18T15:42:35Z,CI,web,declined,102.134.22.72,linux
T000240,C0116,M010,85.58,XOF,2025-09-18T02:56:39Z,CI,web,approved,102.134.22.126,windows
T000241,C0408,M009,11.59,XOF,2025-09-20T07:45:10Z,CI,web,approved,102.134.22.140,mac
T000242,C0420,M012,271.6,XOF,2025-09-19T06:54:57Z,CI,mobile,approved,102.134.22.245,android
T000243,C0383,M016,223.8,XOF,2025-09-18T16:53:08Z,CI,web,approved,102.134.22.70,linux
T000244,C0071,M004,66.3,XOF,2025-09-17T19:06:55Z,CI,web,approved,102.134.22.232,linux
T000245,C0212,M011,102.99,XOF,2025-09-17T05:43:53Z,CI,web,approved,102.134.22.36,android
T000246,C0476,M006,99.98,XOF,2025-09-21T04:18:06Z,CI,mobile,approved,102.134.22.52,windows
T000247,C0394,M003,113.83,XOF,2025-09-18T09:32:48Z,CI,web,declined,102.134.22.45,mac
T000248,C0479,M002,147.25,XOF,2025-09-16T15:12:07Z,CI,mobile,approved,102.134.22.192,windows
T000249,C0055,M011,223.47,XOF,2025-09-14T22:54:46Z,CI,mobile,declined,102.134.22.140,linux
T000250,C0456,M005,126.03,XOF,2025-09-20T11:51:44Z,CI,mobile,approved,102.134.22.29,windows
T000251,C0368,M006,106.31,XOF,2025-09-16T11:19:47Z,CI,mobile,approved,102.134.22.146,ios
T000252,C0313,M013,5.16,XOF,2025-09-16T15:06:59Z,CI,mobile,approved,102.134.22.172,android
T000253,C0480,M008,210.54,XOF,2025-09-16T17:49:17Z,CI,mobile,approved,102.134.22.115,windows
T000254,C0155,M019,109.53,XOF,2025-09-18T12:00:37Z,CI,mobile,approved,102.134.22.178,ios
T000255,C0082,M013,75.78,XOF,2025-09-15T06:05:42Z,CI,web,approved,102.134.22.241,windows
T000256,C0315,M008,42.15,XOF,2025-09-18T23:03:17Z,CI,web,approved,102.134.22.117,linux
T000257,C0242,M018,32.8,XOF,2025-09-19T00:49:34Z,CI,web,approved,102.134.22.153,android
T000258,C0229,M017,170.95,XOF,2025-09-20T21:03:53Z,CI,web,declined,102.134.22.29,android
